!__postfix	scalar
!~~	scalar
!~~*	scalar
%	scalar
quantile_cont	aggregate
quantile_disc	aggregate
quarter	scalar
query	table
query_table	table
radians	scalar
random	scalar
range	scalar
read_blob	table
read_csv	table
read_csv_auto	table
read_json	table
read_json_auto	table
read_json_objects	table
read_json_objects_auto	table
read_ndjson	table
read_ndjson_auto	table
read_ndjson_objects	table
read_parquet	table
read_text	table
reduce	scalar
regexp_escape	scalar
regexp_extract	scalar
regexp_extract_all	scalar
regexp_full_match	scalar
regexp_matches	scalar
regexp_replace	scalar
regexp_split_to_array	scalar
regexp_split_to_table	macro
regr_avgx	aggregate
regr_avgy	aggregate
regr_count	aggregate
regr_intercept	aggregate
regr_r2	aggregate
regr_slope	aggregate
regr_sxx	aggregate
regr_sxy	aggregate
regr_syy	aggregate
repeat	scalar
repeat_row	table
replace	scalar
reservoir_quantile	aggregate
reverse	scalar
right	scalar
right_grapheme	scalar
round	scalar
round_even	macro
roundbankers	macro
row	scalar
row_to_json	scalar
rpad	scalar
rtrim	scalar
second	scalar
sem	aggregate
seq_scan	table
session_user	macro
set_bit	scalar
setseed	scalar
sha1	scalar
sha256	scalar
shobj_description	macro
show	pragma
show_databases	pragma
show_tables	pragma
show_tables_expanded	pragma
sign	scalar
signbit	scalar
sin	scalar
sinh	scalar
skewness	aggregate
sniff_csv	table
split	scalar
split_part	macro
sqrt	scalar
starts_with	scalar
stats	scalar
stddev	aggregate
stddev_pop	aggregate
stddev_samp	aggregate
storage_info	pragma
str_split	scalar
str_split_regex	scalar
strftime	scalar
string_agg	aggregate
string_split	scalar
string_split_regex	scalar
string_to_array	scalar
strip_accents	scalar
strlen	scalar
strpos	scalar
strptime	scalar
struct_concat	scalar
struct_extract	scalar
struct_extract_at	scalar
struct_insert	scalar
struct_pack	scalar
substr	scalar
substring	scalar
substring_grapheme	scalar
subtract	scalar
suffix	scalar
sum	aggregate
sum_no_overflow	aggregate
sumkahan	aggregate
summary	table
table_info	pragma
tan	scalar
tanh	scalar
test_all_types	table
test_vector_types	table
time_bucket	scalar
timetz_byte_comparable	scalar
timezone	scalar
timezone_hour	scalar
timezone_minute	scalar
to_base	scalar
to_base64	scalar
to_binary	scalar
to_centuries	scalar
to_days	scalar
to_decades	scalar
to_hex	scalar
to_hours	scalar
to_json	scalar
to_microseconds	scalar
to_millennia	scalar
to_milliseconds	scalar
to_minutes	scalar
to_months	scalar
to_quarters	scalar
to_seconds	scalar
to_timestamp	scalar
to_weeks	scalar
to_years	scalar
today	scalar
transaction_timestamp	scalar
translate	scalar
trim	scalar
trunc	scalar
try_strptime	scalar
txid_current	scalar
typeof	scalar
ucase	scalar
unbin	scalar
unhex	scalar
unicode	scalar
union_extract	scalar
union_tag	scalar
union_value	scalar
unnest	table
unpivot_list	scalar
upper	scalar
url_decode	scalar
url_encode	scalar
user	macro
user_agent	pragma
uuid	scalar
var_pop	aggregate
var_samp	aggregate
variance	aggregate
vector_type	scalar
verify_external	pragma
verify_fetch_row	pragma
verify_parallelism	pragma
verify_serializer	pragma
version	pragma
wavg	macro
week	scalar
weekday	scalar
weekofyear	scalar
weighted_avg	macro
which_secret	table
write_log	scalar
xor	scalar
year	scalar
yearweek	scalar
|	scalar
||	scalar
~	scalar
~~	scalar
~~*	scalar
~~~	scalar
